exposure_id,source_notice_id,contract_id,notice_type,contracting_authority_name,responsible_body,contracting_authority_region,awardee_name_source,publication_date,contract_value_eur,cpv_code,cpv_description,sector_group,contract_type,procurement_procedure,object_description,source_url,awardee_entity_key,awardee_display_id,awardee_contract_count,awardee_portfolio_value_share,authority_awardee_value_share,authority_awardee_notice_share,sector_portfolio_value_share,data_quality_flags
BOE-00001,BOE-B-2022-168,910/2021.,Contratación,MINISTERIO DE DEFENSA,Director de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,Comunidad de Madrid,"ITURRI, S.A. - GAUZON IBERICA, S.L.U. UTE LEY 18/1982 A CONSTITUIR.",2022-01-01,240000.00,44400000,44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos),Construction structures and materials,Suministros,Abierto,Acuerdo Marco para el suministro de EPI´S de carácter general con destino a buques y dependencia de la Armada.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-168,ITURRISAGAUZONIBERICASLUUTELEY181982ACONSTITUIR,A4420,2,0.00014872,0.00073114,0.00028856,0.00118708,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00002,BOE-B-2022-169,21B70063400.,Contratación,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,Delegación Especial de la Agencia Tributaria en Valencia,Nacional,europea de logistica recursos y gestion global eurogest .,2022-01-01,72727.27,63120000,63000000 Servicios de transporte complementarios y auxiliares; servicios de agencias de viajes,Supporting and auxiliary transport services,Servicios,Abierto,"Servicio de localización, retirada, transporte, depósito y custodia de vehículos y bienes muebles en la Delegación Especial de la AEAT de Valencia.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-169,EUROPEADELOGISTICARECURSOSYGESTIONGLOBALEUROGEST,A2778,3,0.00000476,0.00003405,0.00160772,0.01208737,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00003,BOE-B-2022-170,21A80112500.,Contratación,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,Delegación Especial de la Agencia Tributaria en Castilla y León,Castilla y León,"TARGET TECNOLOGIA, S.A.",2022-01-01,1763.64,50610000,50600000 Servicios de reparación y mantenimiento,Repair and maintenance services,Servicios,Abierto,Mantenimiento rayos X Linescan en AEAT Castilla y León.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-170,TARGETTECNOLOGIASA,A7352,43,0.00016642,0.00035312,0.01366559,0.12077180,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00004,BOE-B-2022-174,130219327633.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",Dirección General de Carreteras,Nacional,"PARMA INGENIERIA, S.L.",2022-01-01,1020000.00,71311000,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","Architecture, construction, engineering and inspection services",Servicios,Abierto,30.176/21-1; TT-001-21. Apoyo técnico a la Dirección Técnica especializado en firmes.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-174,PARMAINGENIERIASL,A5814,2,0.00005483,0.00012986,0.00043879,0.03523707,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00005,BOE-B-2022-176,3.20/27510.0119.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",ADIF - Consejo de Administración,Principado de Asturias,CANTERAS DE CUARCITA SA.,2022-01-01,3913130.00,14212310,"14000000 Productos de la minería, de metales de base y productos afines","Mining, basic metals and related products",Suministros,Abierto,Suministro y transporte de balasto para la renovación integral de vía en el tramo Gijón-Laviana de la red de ancho métrico en Asturias.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-176,CANTERASDECUARCITASA,A1276,3,0.00031358,0.00116506,0.00131637,0.00367934,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00006,BOE-B-2022-177,6.21/28510.0046.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",ADIF - Presidencia,Nacional,VEOLIA SERVICIOS LECAM SAU.,2022-01-01,246861.00,38000000,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)","Laboratory, optical and precision equipment",Suministros,Abierto,Suministro de equipos de protección y sensores detectores de gases para instalaciones en túneles de la red ferroviaria.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-177,VEOLIASERVICIOSLECAMSAU,A8715,29,0.00010636,0.00023126,0.00263273,0.00792739,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00007,BOE-B-2022-178,630201827440.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",Dirección General de Carreteras,Andalucía,"Atenea Seguridad y Medioambiente, S.A.U.",2022-01-01,527644.17,71317200,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","Architecture, construction, engineering and inspection services",Servicios,Abierto,30.1248/20-6; SS-GR-005 Materia de seguridad y salud relativo a las obras de Construcción en la Demarcación de Carreteras del Estado en Andalucía Oriental. Provincia de Granada.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-178,ATENEASEGURIDADYMEDIOAMBIENTESAU,A0815,9,0.00009297,0.00011032,0.00087758,0.03523707,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00008,BOE-B-2022-180,044/21-S.,Contratación,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Ebro,Nacional,"EDS INGENIERIA Y MONTAJES, S.A.U.",2022-01-01,8000.00,50000000,45000000 Trabajos de construcción 50800000 Servicios de reparación y mantenimiento,Repair and maintenance services,Servicios,Abierto,"Contrato de mantenimiento instalaciones eléctricas de alta y baja tensión de Confederación Hidrográfica del Ebro (Provincias de Huesca, La Rioja, Navarra, Soria, Teruel y Zaragoza), reservando el lote número 2 a la participación de centros especiales de empleo y empresas de inserción, de conformidad con la disposición adicional cuarta de la LCSP.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-180,EDSINGENIERIAYMONTAJESSAU,A2369,2,0.00000228,0.00000526,0.00068918,0.12077180,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00009,BOE-B-2022-181,FP.SGR.012/2021.,Contratación,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Júcar,Comunidad Valenciana,"PYCSECA SEGURIDAD, S.A.",2022-01-01,175287.60,79000000,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",Business services,Servicios,No disponible,"Control de acceso y vigilancia de la sede de Valencia de la Confederación Hidrográfica del Júcar, O.A.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-181,PYCSECASEGURIDADSA,A6182,14,0.00009209,0.00105504,0.00413508,0.03518839,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00010,BOE-B-2022-182,816/21.,Contratación,MINISTERIO DE CIENCIA E INNOVACIÓN,"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",Comunidad Valenciana,AVS ADDED VALUE INDUSTRIAL ENGINEERING SOLUTIONS S.L.U.,2022-01-01,390685.72,38970000,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)","Laboratory, optical and precision equipment",Suministros,Negociado sin publicidad,Adquisición de las estructuras necesarias de soporte mecánico de fibra de carbono (pétalos) que se emplearán en el detector de trazas del experimento ATLAS con destino al Instituto de Física Corpuscular.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-182,AVSADDEDVALUEINDUSTRIALENGINEERINGSOLUTIONSSLU,A0924,1,0.00001339,0.00093609,0.00100200,0.00792739,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00011,BOE-B-2022-183,2020_282.,Contratación,MINISTERIO DE CIENCIA E INNOVACIÓN,"Secretaría General de Coordinación de Política Científica - Presidencia del Instituto Español de Oceanografía, O",Nacional,"ASTILLEROS ARMON VIGO, S.A.",2022-01-01,69695000.00,34513550,34000000 Equipos de transporte y productos auxiliares,Transport equipment and auxiliary products,Suministros,Abierto,"Proyecto y suministro con fabricación de un buque oceanográfico multipropósito y de investigación pesquera de ámbito global, con sus respectivos equipamientos y pertrechos, (BUQUE), con destino al IEO.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-183,ASTILLEROSARMONVIGOSA,A0795,2,0.00358418,0.16699021,0.00100200,0.07239379,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00012,BOE-B-2022-184,939/21.,Contratación,MINISTERIO DE CIENCIA E INNOVACIÓN,"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",Principado de Asturias,"SUMINISTROS E INSTALACIONES MEDIOAMBIENTALES Y TECNICAS DE LA EDIFICACION, S.L.",2022-01-01,137162.04,45331000,45000000 Trabajos de construcción,Construction work,Obras,Abierto,Obras de reforma de la instalación de climatización en el Instituto de Ciencia y Tecnología del Carbono.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-184,SUMINISTROSEINSTALACIONESMEDIOAMBIENTALESYTECNICASDELAEDIFICACIONSL,A7230,2,0.00001773,0.00032864,0.00100200,0.32186548,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00013,BOE-B-2022-185,60601/2021.,Contratación,"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES",Secretaria General de la Tesorería General de la Seguridad Social,Comunidad de Madrid,EICO INGENIERÍA Y ECONOMÍA SL.,2022-01-01,658561.57,45200000,45000000 Trabajos de construcción,Construction work,Obras,Abierto,"Obras de reforma de las cocinas e instalaciones anexas del Complejo Apolo XI de los SSCC de la TGSS, en la C/ Los Astros, 5 de Madrid.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-185,EICOINGENIERIAYECONOMIASL,A2385,10,0.00010768,0.00103747,0.00042481,0.32186548,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00014,BOE-B-2022-295,582021066500.,Contratación,MINISTERIO DE DEFENSA,Dirección General del INTA,Canarias,GARDA SERVICIOS DE SEGURIDAD  S.A.,2022-01-03,18179.00,50000000,50800000 Servicios de reparación y mantenimiento,Repair and maintenance services,Servicios,Abierto,"Mantenimiento sistemas seguridad instalaciones inta cec, ciar y ceaes.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-295,GARDASERVICIOSDESEGURIDADSA,A3234,13,0.00017507,0.00000542,0.00028856,0.12077180,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00015,BOE-B-2022-296,2021/AR42U/00001328E.,Contratación,MINISTERIO DE DEFENSA,Intendente de Ferrol,Galicia,SOLUCIONES Y TRATAMIENTOS DE GALICIA SL.,2022-01-03,26325.00,71421000,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","Architecture, construction, engineering and inspection services",Servicios,Abierto,"Servicio abierto de jardinería ,especializado en el mantenimiento y conservación de zonas verdes, en el Club Deportivo Sociocultural de Armada EL MONTON.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-296,SOLUCIONESYTRATAMIENTOSDEGALICIASL,A7115,1,0.00000090,0.00000443,0.00014428,0.03523707,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00016,BOE-B-2022-297,582021114900.,Contratación,MINISTERIO DE DEFENSA,Dirección General del INTA,Comunidad de Madrid,ARTIFACT CONSULTING SLU.,2022-01-03,12200.00,32510000,"32000000 Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos",Communication and telecommunications equipment,Suministros,Abierto,Integración de nariz electrónica en plataforma móvil.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-297,ARTIFACTCONSULTINGSLU,A0710,1,0.00000042,0.00000206,0.00014428,0.01985408,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00017,BOE-B-2022-298,2042720047900.,Contratación,MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Oeste,"Galicia, Principado de Asturias, Cantabria",TAPIAS RUEDA CONSTRUCCIONES Y SERVICIOS S.L.,2022-01-03,307713.49,45000000,44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos) 45000000 Trabajos de construcción,Construction work,Obras,Abierto,"Acuerdo Marco selección empresas que ejecuten obras primer establecimiento, reforma (ampliación, mejora, modernización, adaptación, adecuación, o refuerzo de un bien inmueble ya existente), restauración, rehabilitación o gran reparación, reparación simple, conservación y mantenimiento, demolición en las infraestructuras de las BAE,s militares del ARG de la JIAE OESTE.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-298,TAPIASRUEDACONSTRUCCIONESYSERVICIOSSL,A7349,4,0.00006699,0.00005184,0.00014428,0.32186548,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00018,BOE-B-2022-299,21840067100.,Contratación,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,Dirección General de la Agencia Estatal de Administración Tributaria,Nacional,INDRA SOLUCIONES TECNOLOGÍAS DE LA INFORMACIÓN S.L.U-CIBERNOS CONSULTING S.A.-BABEL SISTEMAS DE INFORMACION S.L.,2022-01-03,2527307.20,72262000,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",IT services,Servicios,Abierto,Servicios de mantenimiento y desarrollo de aplicaciones informáticas para el impulso de la transformación digital del Departamento de Informática Tributaria de la Agencia Estatal de Administración Tributaria.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-299,INDRASOLUCIONESTECNOLOGIASDELAINFORMACIONSLUCIBERNOSCONSULTINGSABABELSISTEMASDEINFORMACIONSL,A3991,1,0.00008660,0.00061975,0.00080386,0.04851254,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00019,BOE-B-2022-300,21240108900.,Contratación,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,Delegación Especial de la Agencia Tributaria en Castilla y León,Castilla y León,PHS SERKONTEN SAU.,2022-01-03,2116.80,90920000,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente","Sewage, refuse, cleaning and environmental services",Servicios,Abierto,Instalación y Mantto. 42 bacteriostáticos edificios AEAT en León.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-300,PHSSERKONTENSAU,A5896,17,0.00000232,0.00000289,0.00482315,0.01037560,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00020,BOE-B-2022-301,01/CM/2021.,Contratación,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,Delegación Especial de Economía y Hacienda en Aragón - Zaragoza,Aragón,"ISS FACILITY SERVICES, S.A.",2022-01-03,753953.43,90911200,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente","Sewage, refuse, cleaning and environmental services",Servicios,Abierto,Prestación del servicio de limpieza del edificio sede de la Delegación Especial de Economía y Hacienda en Aragón.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-301,ISSFACILITYSERVICESSA,A4404,2,0.00005939,0.00018488,0.00080386,0.01037560,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00021,BOE-B-2022-302,21A80112300.,Contratación,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,Delegación Especial de la Agencia Tributaria en Castilla y León,Castilla y León,"TARGET TECNOLOGÍA, S.A.",2022-01-03,7613.23,90000000,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente","Sewage, refuse, cleaning and environmental services",Servicios,Negociado sin publicidad,Mantenimiento de arcos de seguridad DETESCAN y rayos X XSIS en AEAT Castilla y León.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-302,TARGETTECNOLOGIASA,A7352,43,0.00016642,0.00035312,0.01366559,0.01037560,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00022,BOE-B-2022-304,M/0003/A/21/2.,Contratación,MINISTERIO DEL INTERIOR,Jefatura de Asuntos Económicos de la Guardia Civil,Comunidad de Madrid,"ARVAL SERVICE LEASE, S.A.",2022-01-03,4967520.00,34000000,34000000 Equipos de transporte y productos auxiliares,Transport equipment and auxiliary products,Suministros,Abierto,"Suministro en régimen de arrendamiento, de MIL TRESCIENTOS (1300) vehículos turismo, nuevos en color comercial, para unidades de investigación e información no uniformadas de la Guardia Civil.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-304,ARVALSERVICELEASESA,A0712,1,0.00017022,0.00388773,0.00078802,0.07239379,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00023,BOE-B-2022-306,3.21/49110.0125.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",ADIF - Presidencia,Andalucía,SIDI CONSULTORIA Y GESTION SLU.,2022-01-03,101844.00,71356000,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","Architecture, construction, engineering and inspection services",Servicios,Abierto,"Asesoramiento técnico especializado en compra pública de innovación - sistema de ancho variable automático para tráfico de mercancías por ferrocarril ""MERCAVE"".",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-306,SIDICONSULTORIAYGESTIONSLU,A6935,2,0.00000842,0.00001297,0.00043879,0.03523707,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00024,BOE-B-2022-307,230209027028.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",Dirección General de Carreteras,Nacional,UTE IDOM-GEOCONTROL.,2022-01-03,745000.00,71310000,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","Architecture, construction, engineering and inspection services",Servicios,Abierto,"30.970/20-2; AC-512/19 Inspección periódica túneles de la zona 3 de la Red de Carreteras del Estado, en Aragón, Castilla y León Oriental, Cataluña, Comunidad Valenciana y La Rioja. 2º Itinerario.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-307,UTEIDOMGEOCONTROL,A8297,1,0.00002553,0.00009485,0.00043879,0.03523707,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00025,BOE-B-2022-311,202101000003.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",Dirección de la Agencia Estatal de Seguridad Ferroviaria,Comunidad de Madrid,"TK Elevadores España,S.L.",2022-01-03,9360.00,50750000,50700000 Servicios de reparación y mantenimiento,Repair and maintenance services,Servicios,Abierto,"Mantenimiento de los ascensores y montacargas del edificio sede de la Agencia Estatal de Seguridad Ferroviaria (AESF) en la Plaza de los Sagrados Corazones 7, de Madrid.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-311,TKELEVADORESESPANASL,A7628,41,0.00005546,0.00006998,0.00351031,0.12077180,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00026,BOE-B-2022-312,2020-017.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",Presidencia de la Autoridad Portuaria de la Bahía de Algeciras,Andalucía,"Belike Software, S.L.",2022-01-03,542000.00,72000000,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",IT services,Servicios,Abierto,Contrato de servicio de Desarrollo e Implantación de la Plataforma Tecnológica para el Port Comunity System (PCS) del Puerto Bahía de Algeciras.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-312,BELIKESOFTWARESL,A1051,1,0.00001857,0.00006900,0.00043879,0.04851254,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00027,BOE-B-2022-313,3.21/46504.0025.,Contratación,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",ADIF - Presidencia,Comunidad de Madrid,EICO INGENIERIA Y ECONOMIA SL.,2022-01-03,114169.80,45450000,45000000 Trabajos de construcción,Construction work,Obras,Abierto,Ejecución de las obras del proyecto simplificado de construcción de edificio técnico en la estación de O`donell.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-313,EICOINGENIERIAYECONOMIASL,A2385,10,0.00010768,0.00001454,0.00043879,0.32186548,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00028,BOE-B-2022-314,PA 01/22.,Contratación,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,Dirección Provincial del Servicio Público de Empleo Estatal en Zaragoza,Aragón,"SERVICIOS POLIFUNCIONALES IBERIA, S.L.",2022-01-03,51990.00,90911200,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente","Sewage, refuse, cleaning and environmental services",Servicios,Abierto,Contrato del Servicio de Limpieza de las diversas dependencias de la Dirección Provincial del Servicio Público de Empleo Estatal de Zaragoza. P.A. 01/22.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-314,SERVICIOSPOLIFUNCIONALESIBERIASL,A6859,2,0.00000264,0.00020016,0.00182149,0.01037560,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00029,BOE-B-2022-325,202122000000.,Contratación,MINISTERIO DE POLÍTICA TERRITORIAL,Subdelegación del Gobierno en Huesca,Aragón,PUBLIC SERVICE ENTERPRISE S.L.,2022-01-03,85010.24,90911200,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente","Sewage, refuse, cleaning and environmental services",Servicios,Abierto,Prestación del servicio de limpieza en las dependencias de la Subdelegación del Gobierno en Huesca especificadas en el pliego de prescripciones técnicas.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-325,PUBLICSERVICEENTERPRISESL,A6157,1,0.00000291,0.00388549,0.00892857,0.01037560,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00030,BOE-B-2022-320,155*/21/SG/PA/SE.,Contratación,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Miño-Sil,Galicia,SOLUCIONES AVANZADAS EN INFORMATICA APLICADA.,2022-01-03,6370.48,72267000,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",IT services,Servicios,Abierto,Servicio de mantenimiento de la aplicación de gestión de nóminas GINPIX.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-320,SOLUCIONESAVANZADASENINFORMATICAAPLICADA,A7090,1,0.00000022,0.00000419,0.00068918,0.04851254,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00031,BOE-B-2022-321,2021AC000327.,Contratación,MINISTERIO DE CULTURA Y DEPORTE,Dirección General del Instituto Nacional de las Artes Escénicas y de la Música,Comunidad de Madrid,DUETTO MANAGEMENT SL.,2022-01-03,84000.00,92000000,"92000000 Servicios de esparcimiento, culturales y deportivos","Recreational, cultural and sporting services",Servicios,No disponible,CNDM 2 conciertos: el 26/01/2022 de Akademie Für Alte Musik Berlin - cCclo UBC - 5182- y el 10/04/2022 de Freiburger Borokorchester - Ciclo UBS.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-321,DUETTOMANAGEMENTSL,A2294,2,0.00000649,0.00078113,0.00277778,0.00135621,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00032,BOE-B-2022-322,2021AC000218.,Contratación,MINISTERIO DE CULTURA Y DEPORTE,Dirección General del Instituto Nacional de las Artes Escénicas y de la Música,Comunidad de Madrid,Lineas Definidas S.L.,2022-01-03,83000.00,92000000,"92000000 Servicios de esparcimiento, culturales y deportivos","Recreational, cultural and sporting services",Servicios,No disponible,"CNDM - 5192 - Varias agrupaciones Actuaciones de Cécile McLorin Salvant, Joe Beving, Artemis, Christian McBride Quintet, The Cookers, Joey Calderazzo & John Patitucci y Jazzmeia Horn.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-322,LINEASDEFINIDASSL,A4824,3,0.00000607,0.00072960,0.00416667,0.00135621,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00033,BOE-B-2022-323,2021AC000303.,Contratación,MINISTERIO DE CULTURA Y DEPORTE,Dirección General del Instituto Nacional de las Artes Escénicas y de la Música,Comunidad de Madrid,"SOLER MUSIC MANAGEMENT, S.L.",2022-01-03,71500.00,92000000,"92000000 Servicios de esparcimiento, culturales y deportivos","Recreational, cultural and sporting services",Servicios,No disponible,CNDM - Actuaciones de Balthassar Neumann Chor & Solisten Balthasar Neumann Ensemble y Accademia Bizantina.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-323,SOLERMUSICMANAGEMENTSL,A7079,1,0.00000245,0.00029473,0.00138889,0.00135621,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00034,BOE-B-2022-324,202100000111.,Contratación,MINISTERIO DE CULTURA Y DEPORTE,Dirección de la Agencia Española de Protección de la Salud en el Deporte,Comunidad de Madrid,Almudena Moreno Narvaez.,2022-01-03,144000.00,85000000,85000000 Servicios de salud y asistencia social,Health and social work services,Servicios,No disponible,"Servicio, por lotes, de toma de muestra para la realización de análisis de control de dopaje previstos en el plan de distribución de controles del departamento de Control de Dopaje de la Agencia Española de Protección de la Salud en el Deporte (AEPSAD).",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-324,ALMUDENAMORENONARVAEZ,A0395,2,0.00000987,0.00118715,0.00277778,0.05044806,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00035,BOE-B-2022-328,091/21-SG.,Contratación,MINISTERIO DE ASUNTOS ECONÓMICOS Y TRANSFORMACIÓN DIGITAL,Dirección General de la Entidad Pública Empresarial RED,Comunidad de Madrid,"ASISTENCIA SANITARIA INTERPROVINCIAL DE SEGUROS, S.A.U.",2022-01-03,283035.60,66512210,66000000 Servicios financieros y de seguros,Financial and insurance services,Servicios,Abierto,Servicio de seguro privado de asistencia médica.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-328,ASISTENCIASANITARIAINTERPROVINCIALDESEGUROSSAU,A0748,1,0.00000970,0.00080202,0.00278552,0.00250511,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
BOE-00036,BOE-B-2022-329,923/22.,Contratación,MINISTERIO DE CIENCIA E INNOVACIÓN,"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",Comunidad de Madrid,CLECE SA.,2022-01-03,98915.76,50800000,50800000 Servicios de reparación y mantenimiento,Repair and maintenance services,Servicios,Abierto,Servicio de mantenimiento de edificio e instalaciones del Instituto de Cerámica y Vidrio.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2022-329,CLECESA,A1545,80,0.00163493,0.00023700,0.00100200,0.12077180,unique_source_notice;named_awardee;parsed_awarded_value;case_accent_punctuation_spacing_normalised;source_url_available
